COUNTY,TRUMP_VOTES,TRUMP_PCT,BIDEN_VOTES,BIDEN_PCT,TOTAL_VOTE,TOTAL_VOTE_PCT,WHITE,BLACK,NATIVE_AMER,ASIAN,HISPANIC,AGE0_17,AGE18_24,AGE25_44,AGE45_64,AGE65_OLDER,TOTALPOP,TOTALVAXPOP,COVIDDOSES_TOTAL,COVID1DOSE,COVIDFULL,PERC1DOSE,PERCFULL,CURRPERCFULL,CURRFULLPCT,EST_FLUVAX_PCT,EST_FLUVAX_CT
Putnam County,1984,0.84,361,0.15,2345,0.5,4610,35,14,29,132,1054,308,964,1201,1161,4681,3627,2756,"1,466","1,359",31.32,29.03,1542,42.51,0.446,2088
Ralls County,4396,0.78,1205,0.21,5601,0.54,10019,194,25,61,154,2115,652,2244,2954,2334,10355,8240,7684,"3,975","3,718",38.39,35.91,1835,22.27,0.446,4618
Randolph County,8018,0.75,2485,0.23,10503,0.42,22349,1701,167,192,534,5228,2234,6530,6217,4200,24716,19488,17094,"9,356","7,907",37.85,31.99,9464,48.56,0.454,11221
Ray County,8345,0.72,3109,0.27,11454,0.49,22101,486,172,156,611,5115,1712,5285,6395,4408,23158,18043,17578,"9,750","9,034",42.1,39.01,10636,58.95,0.397,9194
Reynolds County,2733,0.83,529,0.16,3262,0.54,5982,108,91,17,111,1219,394,1279,1815,1491,6096,4877,3083,"1,675","1,469",27.48,24.1,1835,37.63,0.443,2701
Ripley County,4839,0.85,833,0.15,5672,0.53,12895,94,84,54,197,3075,865,3021,3549,2790,13567,7622,6630,"3,576","3,154",33.43,29.48,3713,48.71,0.389,4161
Saline County,6451,0.68,2904,0.31,9355,0.4,20465,1547,239,607,2600,5062,2581,5259,5648,4308,23333,18271,18135,"9,669","8,715",41.44,37.35,10133,55.46,0.433,10103
Schuyler County,1606,0.8,373,0.19,1979,0.49,4414,21,0,12,76,1150,346,1009,1131,898,4555,2882,2351,"1,272","1,180",31.55,29.27,1388,48.16,0.432,1742
Scotland County,1560,0.79,388,0.2,1948,0.41,4866,0,5,0,0,1387,381,1052,1099,952,4902,3329,2157,"1,165","1,061",24.7,22.5,1312,39.41,0.407,1919
Scott County,13769,0.78,3753,0.21,17522,0.46,32890,4981,200,217,1031,9144,2878,9345,9625,7296,38059,28915,26820,"14,418","12,785",37.88,33.59,14388,49.76,0.468,17812
Shannon County,3165,0.81,706,0.18,3871,0.55,7713,14,14,0,154,1758,514,1717,2292,1922,8217,5273,4722,"2,490","2,270",35.41,32.29,2780,52.72,0.418,2939
Shelby County,2700,0.81,592,0.18,3292,0.54,5756,117,30,16,149,1427,377,1324,1467,1324,6103,4676,4664,"2,454","2,300",40.21,37.69,2637,56.39,0.446,2722
St. Charles County,128389,0.58,89530,0.4,217919,0.54,367459,24479,1293,12973,14348,92500,33494,107656,106545,66009,405262,312762,433504,"228,025","210,141",56.27,51.85,244693,78.24,0.508,205873
St. Clair County,3932,0.79,988,0.2,4920,0.53,8854,68,88,36,120,1990,580,1876,2641,2602,9370,7294,6326,"3,392","3,073",36.54,33.1,3515,48.19,0.468,4345
St. Francois County,20511,0.73,7044,0.25,27555,0.41,62655,3107,357,366,1108,13990,5423,18460,17189,11423,66922,52932,50727,"28,333","24,511",42.34,36.63,29325,55.4,0.409,27371
St. Louis city,21474,0.16,110089,0.82,131563,0.44,146863,137507,1580,11695,12888,55302,25851,101547,71116,43829,301578,275727,292042,"162,058","140,978",53.74,46.75,173735,63.01,0.463,139631
St. Louis County,199493,0.37,328151,0.61,527644,0.53,681474,257400,3099,52047,30638,218138,81769,251826,254283,188004,1004125,948823,1093445,"581,934","521,104",57.95,51.9,620552,65.4,0.499,501058
Ste. Genevieve County,6630,0.7,2713,0.29,9343,0.51,17463,225,62,174,216,3929,1270,3996,4981,3748,18479,14550,15446,"8,146","7,469",44.08,40.42,8346,57.36,0.444,8205
Stoddard County,11484,0.86,1819,0.14,13303,0.46,28188,515,171,127,540,6327,2199,6909,7587,5979,28672,22345,20188,"10,929","9,644",38.12,33.64,11209,50.16,0.398,11411
